"Id","Label","VoteName","Count","MeaningfulVote","PMs","Indicative","Markets"
3071,"29 Jan, Labour alts (Aye)","Aye",296,FALSE,FALSE,FALSE,TRUE
3070,"29 Jan, Labour alts (No)","No",327,FALSE,FALSE,FALSE,TRUE
2931,"MV 1 (Aye)","Aye",202,TRUE,TRUE,FALSE,TRUE
2930,"MV 1 (No)","No",432,TRUE,TRUE,FALSE,TRUE
3881,"Ind 1, EFTA and EEA (Aye)","Aye",64,FALSE,FALSE,TRUE,TRUE
3880,"Ind 1, EFTA and EEA (No)","No",377,FALSE,FALSE,TRUE,TRUE
3901,"Ind 1, Labour alt (Aye)","Aye",237,FALSE,FALSE,TRUE,TRUE
3900,"Ind 1, Labour alt (No)","No",307,FALSE,FALSE,TRUE,TRUE
3971,"Ind 2, Customs U (Aye)","Aye",273,FALSE,FALSE,TRUE,TRUE
3970,"Ind 2, Customs U (No)","No",276,FALSE,FALSE,TRUE,TRUE
3891,"Ind 1, Customs U (Aye)","Aye",265,FALSE,FALSE,TRUE,TRUE
3890,"Ind 1, Customs U (No)","No",271,FALSE,FALSE,TRUE,TRUE
3931,"Ind 1, Cont pref arr (Aye)","Aye",139,FALSE,FALSE,TRUE,TRUE
3930,"Ind 1, Cont pref arr (No)","No",422,FALSE,FALSE,TRUE,TRUE
3871,"Ind 1, C Mkt 2.0 (Aye)","Aye",189,FALSE,FALSE,TRUE,TRUE
3870,"Ind 1, C Mkt 2.0 (No)","No",283,FALSE,FALSE,TRUE,TRUE
3981,"Ind 2, C Mkt 2.0 (Aye)","Aye",261,FALSE,FALSE,TRUE,TRUE
3980,"Ind 2, C Mkt 2.0 (No)","No",282,FALSE,FALSE,TRUE,TRUE
3541,"MV 2 (Aye)","Aye",242,TRUE,TRUE,FALSE,TRUE
3540,"MV 2 (No)","No",391,TRUE,TRUE,FALSE,TRUE
3451,"27 Feb, Cust U + s.mkt alig (Aye)","Aye",240,FALSE,FALSE,FALSE,TRUE
3450,"27 Feb, Cust U + s.mkt alig (No)","No",323,FALSE,FALSE,FALSE,TRUE
3951,"MV 2.5 (Aye)","Aye",286,TRUE,TRUE,FALSE,TRUE
3950,"MV 2.5 (No)","No",344,TRUE,TRUE,FALSE,TRUE
